date,notifications,cases_directly_averted_perfect,cases_directly_averted_80_percent,cases_directly_averted_60_percent,cases_directly_averted_40_percent,cases_directly_averted_20_percent
2021-10-29,31626,380.9961976469549,304.7969581175639,228.59771858817294,152.39847905878196,76.19923952939098
2021-10-30,26864,326.19519339840275,260.9561547187222,195.71711603904166,130.4780773593611,65.23903867968055
2021-10-31,30255,375.9881850565015,300.7905480452012,225.5929110339009,150.3952740226006,75.1976370113003
2021-11-01,25832,331.5580537660371,265.24644301282973,198.93483225962225,132.62322150641486,66.31161075320743
2021-11-02,28717,381.69597813262146,305.3567825060972,229.01758687957286,152.6783912530486,76.3391956265243
2021-11-03,30796,423.1306260109224,338.50450080873793,253.87837560655345,169.25225040436897,84.62612520218448
2021-11-04,25088,354.9557982879684,283.96463863037474,212.973478972781,141.98231931518737,70.99115965759368
2021-11-05,23846,345.8392601365409,276.6714081092327,207.50355608192453,138.33570405461634,69.16785202730817
2021-11-06,24027,355.43978713430187,284.3518297074415,213.26387228058113,142.17591485372074,71.08795742686037
2021-11-07,23365,350.67681052101926,280.5414484168154,210.40608631261156,140.2707242084077,70.13536210420385
2021-11-08,22549,341.6491363971068,273.31930911768546,204.98948183826408,136.65965455884273,68.32982727942137
2021-11-09,27175,414.0998896141885,331.27991169135083,248.45993376851308,165.63995584567542,82.81997792283771
2021-11-10,30330,463.530236129087,370.8241889032696,278.1181416774522,185.4120944516348,92.7060472258174
2021-11-11,28425,434.28688223913093,347.4295057913048,260.57212934347854,173.7147528956524,86.8573764478262
2021-11-12,28623,435.1246744493985,348.09973955951887,261.0748046696391,174.04986977975943,87.02493488987972
2021-11-13,25317,380.30885537557396,304.24708430045916,228.18531322534437,152.12354215022958,76.06177107511479
2021-11-14,25533,375.91530351190505,300.73224280952405,225.54918210714303,150.36612140476203,75.18306070238101
2021-11-15,24911,357.6040216945323,286.0832173556259,214.56241301671938,143.04160867781295,71.52080433890647
2021-11-16,23465,328.1625389386087,262.53003115088694,196.89752336316522,131.26501557544347,65.63250778772174
2021-11-17,28990,396.52948635254967,317.2235890820398,237.91769181152978,158.6117945410199,79.30589727050994
2021-11-18,32147,433.78039608356625,347.02431686685304,260.2682376501397,173.51215843342652,86.75607921671326
2021-11-19,26928,362.8124320839088,290.24994566712707,217.68745925034526,145.12497283356353,72.56248641678177
2021-11-20,29871,407.495090902503,325.99607272200245,244.4970545415018,162.99803636100123,81.49901818050061
2021-11-21,28329,396.4158494143193,317.1326795314555,237.84950964859158,158.56633976572775,79.28316988286387
2021-11-22,31867,460.53873068995875,368.430984551967,276.3232384139752,184.2154922759835,92.10774613799175
2021-11-23,31303,467.4885099921219,373.99080799369756,280.49310599527314,186.99540399684878,93.49770199842439
